[18+, 1344892607255547944]
[@everyone, 1344865612559679529]
[@everyone, 1364003763194691626]
[Algae Green, 1364003684467605584]
[Alien Green, 1364003673935577178]
[Aquamarine, 1364003637335953458]
[Atra, 1359917270956118256]
[Avocado Green, 1364003682659733615]
[Aztech Purple, 1364003751400050758]
[Baby Blue, 1364003605635403876]
[Bean Red, 1364003716264628276]
[Black, 1364003568901689404]
[Blue Angel, 1364003625965195416]
[Blue Diamond, 1364003640930471966]
[Blue Dress, 1364003610773684225]
[Blue Eyes, 1364003595200106539]
[Blue Gray, 1364003571925913610]
[Blue Green, 1364003652083388598]
[Blue Hosta, 1364003646941040640]
[Blue Ivy, 1364003603341115484]
[Blue Jay, 1364003585234571415]
[Blue Koi, 1364003604494680124]
[Blue Lagoon, 1364003621380817018]
[Blue Orchid, 1364003596521181315]
[Blue Whale, 1364003590162612247]
[Blue Zircon, 1364003639190098092]
[Blueberry Blue, 1364003593480442016]
[Blush Pink, 1364003752331317312]
[Bright Gold, 1364003704847466559]
[Butterfly Blue, 1364003612161872035]
[Cadillac Pink, 1364003726360182795]
[Cantaloupe, 1364003710673358938]
[Captcha.bot, 1344867533647515681]
[Carnation Pink, 1364003732672483450]
[Champagne, 1364003703610413108]
[Chartreuse, 1364003689550839908]
[Cherry Red, 1364003719481397328]
[Cobalt Blue, 1364003588807856220]
[Columbia Blue, 1364003606667464834]
[Coral Blue, 1364003630017019934]
[Coral, 1364003714389643274]
[Cornflower Blue, 1364003614888038540]
[Cotton Candy, 1364003730961338480]
[Cream, 1364003701865316415]
[Crimson, 1364003759516160101]
[Crocus Purple, 1364003757058424983]
[Crystal Blue, 1364003618935799860]
[Cyan Opaque, 1364003642276839465]
[Cyan, Aqua, 1364003640033022073]
[Dark Slate Blue, 1364003584005509272]
[Dark Slate Gray, 1364003570885726248]
[Dark Turquoise, 1364003654985584640]
[Day Sky Blue, 1364003624233205821]
[Deep Pink, 1364003738179731658]
[Deep Sky Blue, 1364003616070832139]
[Denim Blue, 1364003620114272277]
[Denim Dark Blue, 1364003586534805617]
[Discord Shadow, 1364003761575694453]
[Dodger Blue, 1364003607997059192]
[Doughmination System, 1359886973652828322]
[Dragon Green, 1364003688527692007]
[Earth Blue, 1364003592188592159]
[Electric Blue, 1364003634609782937]
[Electric Yellow, 1364003698526654474]
[Fern Green, 1364003664750182461]
[Forest Green, 1364003672371105843]
[Glacial Blue Ice, 1364003599033565265]
[Gold, 1364003706613403659]
[Gray Goose, 1364003573288927362]
[Grayish Turquoise, 1364003660073271438]
[Green Yellow, 1364003694621757622]
[Green, 1364003685352345640]
[Greenish Blue, 1364003662267154475]
[Harvest Gold, 1364003692541509645]
[Hazel Green, 1364003663680503938]
[Helitrope Purple, 1364003750179766433]
[Hoja Green, 1364003677848866888]
[Hot Pink, 1364003733905604659]
[Hummingbird Green, 1364003681724272801]
[Iceberg, 1364003617622720625]
[Indigo, 1364003744475254795]
[Jeans Blue, 1364003622358356092]
[Jelly Fish, 1364003645124907141]
[Jungle Green, 1364003670487863317]
[Kelly Green, 1364003676817068172]
[Lapis Blue, 1364003591664173198]
[Lavender Blue, 1364003760816394311]
[Lawn Green, 1364003690607935669]
[Lemon Chiffon, 1364003700938379314]
[Light Aquamarine, 1364003635813548072]
[Light Blue, 1364003628716789791]
[Light Coral, 1364003717526847619]
[Light Cyan, 1364003632516694128]
[Light Pink, 1364003734694395995]
[Light Salmon, 1364003711827054593]
[Light Sea Green, 1364003653924552868]
[Light Sky Blue, 1364003623339692083]
[Light Slate Blue, 1364003599667167285]
[Light Slate Gray, 1364003578938790051]
[Light Slate, 1364003633699749998]
[Light Steel Blue, 1364003609175392388]
[Light Yellow, 1364003695640973393]
[Lime Green, 1364003674963312643]
[Literally Shrek, 1364003678612361337]
[Love Red, 1364003722623058052]
[Lovely Purple, 1364003749407752365]
[MF BOTS ARE ASSHOLES, 1344867579067629628]
[Macaw Blue Green, 1364003653043617892]
[Magneta, 1364003743619612752]
[Mango Orange, 1364003713454313533]
[Maroon, 1364003723570843833]
[Mauve, 1364003753639804998]
[Medium Aquamarine, 1364003655749079132]
[Medium Sea Green, 1364003666687955015]
[Medium Spring Green, 1364003668281524286]
[Medium Turquoise, 1364003647532437567]
[Metallic Silver, 1364003580561985617]
[Midnight Blue, 1364003582902538241]
[Mint Green, 1364003691744723055]
[Mustard, 1364003705871007785]
[Navy Blue, 1364003587893755954]
[Nebula Green, 1364003680084557894]
[Neon Pink, 1364003742369972306]
[Night, 1364003569912643644]
[Northern Lights Blue, 1364003643048857722]
[Ocean Blue, 1364003609813061735]
[Oil, 1364003578133610657]
[Orange, 1364003709050425527]
[Parchment, 1364003699810111504]
[Pastel Blue, 1364003627215093761]
[Pig Pink, 1364003728033579161]
[Pink, 1364002558762287325]
[Platinum, 1364003577009274880]
[Plum Velvet, 1364003727350038711]
[Plum, 1364003739320455218]
[PluralKit, 1344867070344433719]
[Purple Ametyhst, 1364003741128327309]
[Purple Flower, 1364003747453341876]
[Purple Iris, 1364003745549258752]
[Purple Mimosa, 1364003748145401908]
[Purple, 1364003758471774278]
[Red Wine, 1364003721473691780]
[Red, 1364003715085897739]
[Robbin Egg Blue, 1364003631199948800]
[Rose Gold, 1364003729531080724]
[Rose, 1364003725181456505]
[Royal Blue, 1364003597855232010]
[Saffron, 1364003707842465935]
[Sage Green, 1364003669564981288]
[Sapphire Blue, 1364003594600185866]
[Scarlet, 1364003720538624000]
[Sea Green, 1364003659075027077]
[Sea Turtle Green, 1364003658039038003]
[Silk Blue, 1364003601747284072]
[Sky Blue, 1364003613566963846]
[Steel Blue, 1364003574375514243]
[Stoplight Go Green, 1364003683548790824]
[Sun Yellow, 1364003686543527956]
[TTS Bot, 1360700536680218668]
[Teal, 1364003661214257194]
[Tiffany Blue, 1364003644336508958]
[Turquoise, 1364003649168216264]
[Tyrian Purple, 1364003755577577472]
[Valentine Red, 1364003718265176222]
[Venom Green, 1364003665555357708]
[Violet, 1364003746526400653]
[Watermelon Pink, 1364003736036573194]
[Windows Blue, 1364003600887713976]
[Xenon, 1364002976469094543]
[Yellow, 1364003697054716066]
[You have name privileges, 1359886267277512914]
[You’ve lost name privileges, 1359879565597475117]
[Zahra, 1344870131632705580]
[carl-bot, 1344866438975848541]
[moderator, 1344865990164615179]
[new role, 1364002564722659379]
[soundboard, 1345612090987253780]
[verified!, 1344867365896196127]
